Participant ID,Topic ID,Date,Comments
P5,Q5,12/04/2018 11:01,"The use of social network has some pros and cons. The original idea of social networking is good because the original idea to share information and to connect people to socialise so is 
socialization is a good advantage weed reduces social network but there are lots of problems because the first a lot of 
false information is harder to discriminate between and false information especially is a problem for younger people they think because name create 
an idea of some topics and subjects that are completely wrong also the general idea of the life, what’s the life? What is socialization? What is the 
communication? The other problem that this dissertation is not a good situation because you don't know very well we are the people and the problem of 
the most I think not masturbate a lot of the Yankees that spend too much time near comfort computer and then the improvement Association the real life today. 
Today in the psychological effects of them with respect to this kind of problem she's a he became the use of Internet addiction support and respect people the
government controlled about 2 hours use of networking I think that government of two together more rules for example to control the society that put information in the internet "
P6,Q5,12/04/2018 11:02,Like China 
P5,Q5,12/04/2018 11:02,"yeah yeah yeah Which city is the company that put advertisement because you go to get first I'm using it for me so big problem when they use social networking because 
I have an invention or advertisement and it's a bit stressful this kind of advertisement you click on a website and appeared to be advertisement . 
You cannot close the advertising before 10 or 15 seconds setting all this kind of invasion of false information they are not good for out for our, 
our healthy our psychological healthy and they think that the first action have two different sizes of the government not just so people because all 
I see is not simple to manage all kind of problems so what the problem is our government, I think. Mkes me feel upset also"
P4,Q5,12/04/2018 11:03,"You made a lot of different points in your speech.  I have a lot of points that i want to address, but I would like to focus on the main points, 
i think a lot of them is what you just said. Also, a lot of pros and cons that listed here. They kind of based under the assumption that the problems 
identified here and some of them identified by you, that are caused by social media but I tend to disagree that social media like never exits. 
It’s always exists like with the reputable society. It just enhance the way people behave so it's just, maybe it’s easier if i try to illustrate with an example. 
So, where it stays that social media enables the spread of unreliable and false information, 
I don't think this is true I think that it only makes it possible to spread false information faster and to spread on larger scale but the spread of false information, it was always existed."
P5,Q5,12/04/2018 11:05,In what way we can quickly recognize the false information? I don’t know
P4,Q5,12/04/2018 11:06,"I think it’s all about educating users about how recognize false news, about how to identify reliable sources and encouraging independent thinking. 
Also, disencouraging and bad healthy habits and bad healthy lifestyle. This way people can use social media platforms without having a negative effects in their 
social life without being a victim of addiction. I think lots of these negative habits people develop regressive habits and they have natural tendency because we human we always 
go with the easier way, and a lot of times it’s easier to socialize online than it’s to go out, meeting people -- someone who is highly shy. 
So in the same way that enforcement law use to catch criminals. Also criminals can make use of social media, the problem still exists and it would exist without the social media, 
they would just different form, I think?   To say about the government, I also disagree that the government should significantly interfere. I think either some regulation might be necessary. 
For example, protecting private data of citizens, and remembering the Facebook incident, which happened so recently. "
P5,Q5,12/04/2018 11:06,I think the disadvantage is that you have less freedom of the government put a lot of rules and what kind of people you can find on the internet.
P6,Q5,12/04/2018 11:07,"I think you're right. I remember one of my frenids he is chineese and said that they have thier own soical media or soical network website like Facebook or twiter. 
So all members of that website are from china and they are not open to the world. I think this is the adantage of government control of social networks websites"
P7,Q5,12/04/2018 11:07,"I don't think it's necessarily the problem with china, I think the problem with china is that the government can define different things that are allowed to be discussed"
P6,Q5,12/04/2018 11:07,We are taking china as an example
P5,Q5,12/04/2018 11:07,I think China is an extreme example
P7,Q5,12/04/2018 11:07,"The government controls what kind of discussion points can be made, I think this can quickly kill the discussion"
P5,Q5,12/04/2018 11:08,"I think the example of china is a bit extreme, I mean I intend a government like American government or european government can put rules to control, for example the company that put information 
on the internet or for example Facebook if it catches a lot of our information and the government has to control this process."
P6,Q5,12/04/2018 11:08,"I think this relates to a cyber-attack wars between these countries like US, UK, China and Saudi Arabia and different countries. So they try to control their people from spreading 
information in public social networking sites. For, example, I’m going to a holiday, going to Liverpool for one week, so maybe someone will track my location to steal things from my 
home while I’m away. So, this is the main concern for me when I’m losing the social media. Privacy, there is no privacy for the social networking. Whatever you post online it’s for 
everyone to see. It doesn't belong to you anymore. I think, the owner of social networking like Facebook or twitter they need to teach users how set their own privacy to protect their 
information from misuse. We’re using just for fun, we’re carless."
P7,Q5,12/04/2018 11:09,"You wanted to share that you’re going to holiday and I you should be able to do that, but be clear who you’re sharing with and what privacy you’re giving up. 
I don’t think it’s necessary to impose rules around privacy. You should be clear that you’re giving up that kind of information."
