Partipant iD,Date,Type,User,Link,Comment,Page
P8,12/04/2018 14:04,comment,Raven Claw ,,"Positives of Social Media: People can connect with each other. 

Negatives of Social Media: Best example to explain this would be the recent Facebook and Cambridge Analytica Data scandal. Our data and privacy are not safe. Personal data are used for many marketing purposes. Messages in messenger app are also scanned.
",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P9,43202.46199,comment,A,,"I think social media is a mess. Any thing without regulation, rules, and restrictions will turn in as a wild. However, you will find someone call this freedom and ask to keep such a mess going on. Yes I'm with the authentic social media where every person speaks without any masks, and within moral discussion boundaries.
",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P12,43202.46225,reply,Bob,,Who defines moral discussion boundaries? The government?,http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P12,12/04/2018 12:04,reply,Bob,,"I also enjoy the idea of someone using the username ""A"" to state that they want a social media where ""every person speaks without any masks"".",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P9,12/04/2018 12:04,reply,A,,Bob you're a kind of getting what I referring to.. don't you?,http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P12,12/04/2018 12:04,reply,Bob,,"Are you proposing government regulation of the content of social media posts, beyond that which regulates content in other forums?",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P12,12/04/2018 12:04,reply,Bob,,I also can use yours as well !! Freedom man,http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P12,43202.50387,reply,Bob,,"I'd rather people had freedom, perceived or otherwise, than heavy-handed government regulation, on the pretence that morality is somehow enforceable.",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P12,12/04/2018 12:04,reply,Bob,,Not necessarily the government. People know morals and there are a kind of stranded (acceptable) behaviour.,http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P12,43202.50355,reply,Bob,,"But your original post called for ""regulation, rules, and restrictions"".. who from?",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P9,12/04/2018 12:04,reply,A,,"I don't know, This is a different discussion topic.. 
May be people who run S.M. platforms.",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P12,43202.50355,reply,Bob,,"Do we really want Mark Zuckerberg defining what we can and cannot say, beyond what the law says?",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P13,43202.50365,reply,G,,"There's positive freedom and negative freedom, i.e., freedom to live your life without being discriminated against or without being targeted by violence (in this context, this could be hate speech). Neither of these cannot be fully enforced without limiting the other one. And I disagree that people know morals and share the same acceptable behaviour - this can wildly differ between different social groups (there are a lot of people who think that FGM is acceptable). So you can have social media with very little or even without any regulation, but it will almost certainly violate the negative freedom of some, perhaps more vulnerable members of the society.",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P9,12/04/2018 12:04,reply,A,,"I don't know, This is a different discussion topic..  May be people who run S.M. platforms.",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P1,43202.42043,comment,FelixMcFelix,,"In their current form? Hardly.While I have issues with some of the pros and cons being simple correlations, I think the connectedness aspect is real and very beneficial. I'd argue that most folks end up achieving this through Whatsapp or somerthing similar rather than facebook et al., primarily since facebook devolves into a highlight reel of banal ""viral"" videos with occasional photos from friends.
It has become simply a way to kill time, including time that could be better used more productively.",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P4,43202.46194,reply,Konstantina,,"I don't know about that. For an average person, yes, they will see their friend's baby or cat pictures showing up, but that can cause them stress and sadness if they have't sorted their life out yet. Also social media can have major impacts, such as using them to organise protests (eg. Arab Spring) or to manipulate votes (eg. Cambridge Analytica).  I am still very perplexed on this topic...",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P2,12/04/2018 10:04,comment,Saad,,"I think the social media is helpful to group up the knowledge and to improve the communication with each other. The main concern for them the privacy and how can protect their information.
",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P9,12/04/2018 11:04,reply,A,,"I think you are right, the privacy is so important in such systems, but it can be controlled and improved by the effort and research being carried out by the security, privacy, and behaviour people .",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P3,12/04/2018 10:04,comment,ExNihilioNihilFit,,"I would argue a bit of both. As stated social media allows the spread of information, finding connections, and networking. However, there should also be some limits and stricter ruling within it. If it really does effect school grades so much, there should be something to overcome this (perhaps blocking certain sites on the school's wifi). The security is a big issue, and really needs to be addressed as well as harassment and safe spaces online.�",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
P4,43202.42042,comment,Konstantina,,"I have not yet set my mind to this one. It is too early to have an opinion for something it is still being formed. Since we do not know what having social media really means but they are here to stay, we should divert the question of how we regulate privacy data and crime committed through them (e.g. grooming). There is no point in fighting the future, we need to adapt to it and mould it to the best of our interests.",http://aalkharashi1.wixsite.com/discussion-topics/soical-networks
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
